,RawData,TradeDate,TradeTime,TradeSequenceNumber,SessionIndicator,TickerSymbol,FOIIndicator,DeliveryDate,TradeQuantity,StrikePrice,StrikePriceDecimalLocator,Ask/BidType,IndicativevQuoteType,MarketQuote,Close/OpenType,ValidOpenException,PostClose,CancelCodetype,InsertCodeType,Fast/LateIndicator,CabinetIndicator,BookIndicator,EntryDate
65,2020031216590024503682ECL F200400001       000033032B M         200311,20200312,165900,24503682,E,CL ,F,2004,00001,0003303,2,B, ,M, ,  , , , , , , ,200311
66,2020031216590024503682ECL F200400003       000033122B M         200311,20200312,165900,24503682,E,CL ,F,2004,00003,0003312,2,B, ,M, ,  , , , , , , ,200311
67,2020031216590024503686ECL F200400003       000033122A M         200311,20200312,165900,24503686,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
68,2020031216590024503686ECL F200400001       000033112A M         200311,20200312,165900,24503686,E,CL ,F,2004,00001,0003311,2,A, ,M, ,  , , , , , , ,200311
69,2020031216590024503687ECL F200400004       000033122A M         200311,20200312,165900,24503687,E,CL ,F,2004,00004,0003312,2,A, ,M, ,  , , , , , , ,200311
70,2020031216590024503687ECL F200400003       000033122A M         200311,20200312,165900,24503687,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
71,2020031216590024503688ECL F200400003       000033122A M         200311,20200312,165900,24503688,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
72,2020031216590024503688ECL F200400006       000033122A M         200311,20200312,165900,24503688,E,CL ,F,2004,00006,0003312,2,A, ,M, ,  , , , , , , ,200311
73,2020031216590024503691ECL F200400000       000033122 I          200311,20200312,165900,24503691,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
74,2020031216590924503695ECL F200400006       000033122B M         200311,20200312,165909,24503695,E,CL ,F,2004,00006,0003312,2,B, ,M, ,  , , , , , , ,200311
75,2020031216590924503695ECL F200400008       000033122B M         200311,20200312,165909,24503695,E,CL ,F,2004,00008,0003312,2,B, ,M, ,  , , , , , , ,200311
76,2020031216590924503696ECL F200400000       000033122 I          200311,20200312,165909,24503696,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
77,2020031216591824503698ECL F200400008       000033122A M         200311,20200312,165918,24503698,E,CL ,F,2004,00008,0003312,2,A, ,M, ,  , , , , , , ,200311
78,2020031216591824503698ECL F200400005       000033122A M         200311,20200312,165918,24503698,E,CL ,F,2004,00005,0003312,2,A, ,M, ,  , , , , , , ,200311
79,2020031216591824503699ECL F200400000       000033122 I          200311,20200312,165918,24503699,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
80,2020031216592124503702ECL F200400005       000033122B M         200311,20200312,165921,24503702,E,CL ,F,2004,00005,0003312,2,B, ,M, ,  , , , , , , ,200311
81,2020031216592124503702ECL F200400009       000033122B M         200311,20200312,165921,24503702,E,CL ,F,2004,00009,0003312,2,B, ,M, ,  , , , , , , ,200311
82,2020031216592924503705ECL F200400009       000033122A M         200311,20200312,165929,24503705,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
83,2020031216592924503705ECL F200400006       000033122A M         200311,20200312,165929,24503705,E,CL ,F,2004,00006,0003312,2,A, ,M, ,  , , , , , , ,200311
84,2020031216592924503706ECL F200400000       000033122 I          200311,20200312,165929,24503706,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
85,2020031216593724503709ECL F200400007       000033122A M         200311,20200312,165937,24503709,E,CL ,F,2004,00007,0003312,2,A, ,M, ,  , , , , , , ,200311
86,2020031216593724503709ECL F200400009       000033122A M         200311,20200312,165937,24503709,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
87,2020031216593724503710ECL F200400000       000033122 I          200311,20200312,165937,24503710,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
88,2020031216593824503711ECL F200400009       000033122A M         200311,20200312,165938,24503711,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
89,2020031216593824503711ECL F200400008       000033122A M         200311,20200312,165938,24503711,E,CL ,F,2004,00008,0003312,2,A, ,M, ,  , , , , , , ,200311
